,Name,Desc,Runs,Balls,4s,6s,SR,Team
0,Brandon King,b Ngidi,72,72,11,1,100.00,1
1,Kyle Mayers,c Ngidi b Jansen,14,22,1,1,63.63,1
2,Shamarh Brooks,run out (Markram/Rickelton),18,24,2,0,75.00,1
3,Shai Hope,c Miller b Fortuin,16,27,1,0,59.25,1
4,Nicholas Pooran,c Ngidi b Jansen,39,41,1,3,95.12,1
5,Rovman Powell,st †Rickelton b Fortuin,2,3,0,0,66.66,1
6,Jason Holder,st †Rickelton b Markram,36,43,3,0,83.72,1
7,Yannic Cariah,c †Rickelton b Coetzee,6,15,0,0,40.00,1
8,Akeal Hosein,c Ngidi b Coetzee,14,23,1,0,60.86,1
9,Odean Smith,not out,13,15,2,0,86.66,1
10,Fall of wickets 1 39 Kyle Mayers 6 6 ov 2 110 Shamarh Brooks 18 6 ov 3 120 Brandon King 21 2 ov 4 152 Shai Hope 26 4 ov 5 160 Rovman Powell 28 1 ov 6 187 Nicholas Pooran 34 2 ov 7 206 Yannic Cariah 38 5 ov 8 221 Jason Holder 43 2 ov 9 244 Akeal Hosein 46 1 ov DRS,0,0,0,0,0,0,1
